Year,Entity Text,Instances
1622,Southampton,2
1622,Somer,1
1622,Virginia,6
1622,Silver Oare,1
1622,Companie,1
1683,Southampton,5
1683,Killigrewe,1
1683,Gibbs,2
1683,Brooke,1
1683,Caninge,1
1683,Kightley,1
1683,Swinhowe,1
1683,Peirs,1
1683,Virginia,10
1683,Courtes,2
1683,Admittance,1
1683,Tobacco,1
1683,Captaine,1
1683,Holland,1
1683,the West Indies,1
1683,Matoar,1
1683,Pohatan,1
1683,Infidells,2
1683,Kingdom,1
1683,Contrary,1
1683,Vineyards,1
1683,Silk,1
1683,Silkworms,1
1683,MS,1
1683,Beadles,1
1683,Compᵃⁿʸ,1
1683,Privy Counsell,1
1683,Att,1
1683,Boothby,1
1688,Nova Brittania,1
1688,Southampton,5
1688,Towne,1
1688,Cause,1
1688,Clarke,2
1688,Lawes,1
1688,Virginia,11
1688,the Sumer Islands,1
1688,Courts,1
1688,Warwicke,1
1688,Vineyards,1
1688,Silk,1
1688,Germany,1
1688,Tobacco,1
1688,the Somer Islands,1
1688,Seauen,1
1688,Complaine,1
1688,the Suffer Islands,1
1688,England,2
1688,River,1
1688,Cold,1
1688,Winckfeild,1
1688,Barbor,1
1688,Gibbs,1
1688,Robertᵉ.,1
1688,Sharrow,1
1688,West,1
1688,Ireland,1
1688,yett itt,1
1623,Southampton,45
1623,Towne,6
1623,Sr Iohn Brooks,1
1623,Mr Wrotes,1
1623,Virginia,132
1623,Estates,1
1623,Wye,1
1623,Gibbs,8
1623,Copland,7
1623,Caninge,7
1623,London,4
1623,Kightley,2
1623,Killigrewe,1
1623,Hobbs,3
1623,Nicholle,4
1623,Wilmer,4
1623,Downes,1
1623,Kirrell,2
1623,Elkington,3
1623,Tatam,1
1623,Jadwin,3
1623,Husband,1
1623,Chaire,6
1623,Kingdome,4
1623,Warwicke,4
1623,Brooke,2
1623,Iackeson,1
1623,Io,4
1623,Copeland,2
1623,Etheridge,3
1623,Swinhowe,4
1623,Parkhurst,1
1623,Shipton,1
1623,Lake,1
1623,Boothby,5
1623,Clarke,1
1623,verie,1
1623,Whereunto,1
1623,Companie,1
1623,Sonne,1
1623,Sallaries,3
1623,Chapmen,1
1623,Aduenturer,1
1623,offensiue speach,1
1623,Kinge,1
1623,Argument,1
1623,Contrary,1
1623,Swayne,1
1623,England,25
1623,Letters Patente,1
1623,Centum,1
1623,West Indies,1
1623,Kingdom,1
1623,Howbeit,2
1623,the West Indies,5
1623,Spain,1
1623,Charge,1
1623,St. John,1
1623,Barboᶜ.,2
1623,Tayloᶜ.,1
1623,Woodnorth,1
1623,ST,1
1623,LA,1
1623,Maᵗʸˢ,3
1623,Territories,1
1623,Ireland,4
1623,Tobacco,1
1623,King,3
1623,Specie,1
1623,Sumer Islands,1
1623,yoᵘʳ,1
1623,Shipping,1
1623,the State of Virginia,2
1623,Southton,2
1623,America,1
1623,Swine,1
1623,James River,1
1623,River,5
1623,Treacherous,1
1623,Humbly,1
1623,Courtes,1
1623,Monarchycall,1
1623,the Summer Islands,2
1623,Colonies,7
1623,Ditchfield,3
1623,Seldon,2
1623,Moorewood,1
1623,LL,1
1623,Portesmouth,1
1623,Declaracon,1
1623,yᵉ,1
1623,Ordinance,2
1623,Antient Plantatons,1
1623,Henrico,7
1623,Poultry,2
1623,Hoggs,2
1623,Berblock,2
1623,Preston,1
1623,Wilkinson,1
1623,Seates,1
1623,James City,2
1623,Woods,1
1623,Goates,1
1623,Insomuch,1
1623,Ships,1
1623,Captaine,6
1623,Caution,1
1623,the Sumer Islands,1
1623,St,1
1623,Southwark,1
1623,Kinswoman,1
1623,Maᵗᵗ.,2
1623,Maᵗˢ,3
1623,Infidells,1
1623,Sloane,1
1623,Sea,1
1623,the Kingdom of France,1
1623,Europe,2
1623,Lands Cultivated,1
1623,Rovinge,1
1623,Returnes,1
1623,Negroes,3
1623,Earles,1
1623,Complain,1
1623,Plymouth,1
1623,English Coast,1
1623,Packet,1
1623,Pylott,1
1623,Maᵗᶦᵉ,3
1623,Holland,1
1623,Complaintes,1
1623,Islands,1
1623,Compassion,1
1623,Summer Islands,1
1623,Unmasking,1
1623,consideraton,1
1623,quyett,1
1623,Plantatons,1
1623,Accountes,1
1623,Middle Temple Gentleman,1
1623,the Middle Temple,1
1623,Comittees,3
1623,Disbursed,1
1623,Sparrow,2
1623,Severall Courtes,1
1623,Booke,1
1623,England Scottland,1
1623,& Ireland,2
1623,Scottland,1
1623,payd,1
1623,Blyth,1
1623,Kirbie,1
1623,White,1
1623,Palauicine,1
1623,Barbor,2
1623,Holborne,1
1623,Bookes,1
1623,Twentieth,1
1623,Wheras,1
1623,Complaine,1
1628,Sᵗ. Sithe's,1
1628,Southampton,12
1628,Town,1
1628,Secretaries,1
1628,the Sufier Island Quarter Court,1
1628,Sallaries,1
1628,Stepps,1
1628,Virginia,3
1628,the Iointe Stocke,1
1628,Kingdome,2
1628,Spayne,2
1628,Wither,1
1628,Swayne,1
1628,Paules,1
1628,Gibbs,1
1628,Wilmer,2
1628,Tayloᶜ.,1
1628,Harvy,1
1628,Tatam,1
1628,Barbor,1
1628,Boothby,1
1628,Barboᶜ.,1
1628,England,3
1628,Ireland,3
1628,Realm,1
1628,Sr,1
1628,Holland,1
1628,Shipps,1
1628,London,1
1628,Copland,1
1628,Swinhowe,1
1628,Newport,1
1628,verie,1
1628,Negroes,1
1628,Slaues,1
1628,Subiect,1
1628,Spaine,1
1628,rat€€,2
1628,Maᵗᶦᵉˢ,2
1608,Southampton,6
1608,Counsel,1
1608,Kingdome,1
1608,Sallaries,1
1608,Virginia,3
1608,Copland,1
1608,Mr Webb,1
1608,the Summer Islands,1
1608,Hobbs,1
1608,Io,1
1608,Southerton,1
1608,Gibbs,1
1608,Ditchfield,1
1621,Southampton,2
1621,Comittees,3
1823,Southampton,1
1823,Payd,1
1603,Societies,1
1603,Kingdom,1
1603,Virginia,4
1603,Kingdome,2
1603,Tobacco,4
1603,Spayne,1
1603,Spaine,1
1603,Importacon,1
1603,Colonies,2
1603,Dismaskinge,1
1603,Bodies,1
1603,Plantatons,1
1603,Companie,1
1603,the Sumer Islands,1
1603,the Somer Islands,1
1603,Counsel,1
1693,Virginia,3
1693,Processe,1
1693,Courtes,3
1693,Courts,1
1682,Tobacco,1
1682,pawne,1
1682,King,1
1682,Virginia,1
1642,Husband,1
1642,Virginia,1
1642,Chaire,1
1642,Suerties,2
1698,Discover,2
1698,Virginia,1
1698,the West Indies,1
1088,Deputishipp,1
1088,Virginia,4
1088,Southton,1
1088,Bonde,1
1088,the Lady Rumny,1
1088,Southampton,1
1088,Rumny,1
1629,Virginia,3
