Year,Entity Text,Instances
1620,Carefull,1
1620,Downes,3
1620,Virginia,127
1620,butt,1
1620,River,1
1620,Garland,2
1620,Poynes,1
1620,Southampton,35
1620,Eleccon,1
1620,ST,1
1620,Warwicke,2
1620,Houghton,1
1620,Shipton,1
1620,Caninge,2
1620,Paulston,1
1620,Nichole,1
1620,Devonshire,1
1620,Webb Husband,1
1620,London,6
1620,Bohemia,1
1620,Land,6
1620,Kiquotan,1
1620,Henrico,1
1620,Societies,1
1620,Garden,1
1620,Consumed,1
1620,Goates,1
1620,Bohun,2
1620,Transport,2
1620,Cattle,2
1620,Plymouth,2
1620,Sealls,1
1620,Prevyledge,1
1620,Wye,1
1620,Sheffeild,2
1620,Sparrow,1
1620,Cause,1
1620,England,15
1620,Towne,2
1620,Field,1
1620,the Cape Marchant,2
1620,Writinge,1
1620,Islands,2
1620,War,1
1620,Pirates,1
1620,Captaine,2
1620,Maᵗᵉ.,1
1620,Haughton,2
1620,Ladyship,1
1620,Notwithstanding,1
1620,Deuonsheire,1
1620,Huntington,2
1620,Ma'tie,3
1620,Abbott,1
1620,Husband,3
1620,King,1
1620,Courtes,1
1620,Accompts,3
1620,Alhalloutide,1
1620,Solicitinge,2
1620,Loᵈˢ.,1
1620,Haveinge,1
1620,Tenants,1
1620,Wales,1
1620,Wormes,2
1620,Mercellis,1
1620,Colonies,1
1620,Pitts,1
1620,France,1
1620,Chamberlin,1
1620,Peace,1
1620,Plenty,1
1620,Lawes,1
1620,Ma'ties,1
1620,Plantaton,1
1620,Thirde,1
1620,Realm,1
1620,Brooke,1
1620,Sᵗ,1
1620,Husbands,1
1620,Cape Codd,2
1620,Seaven,1
1620,Lands,2
1620,Companie,1
1620,the Cape Marchant's,1
1620,the North Coast,1
1620,Sprus,1
1620,Drinck,1
1620,Collony,1
1620,LL,3
1620,Baynam,1
1620,Consideraéon,1
1620,States,1
1620,Iune,1
1620,verie,1
1620,Gibbes,1
1620,Barbor,1
1620,Jadwin,1
1620,Seldon,1
1620,Bromfeild,1
1620,Keightley,1
1620,Berblock,1
1620,Comittees,1
1620,Voyadge,1
1620,Northern Seas,1
1620,Dutie,1
1620,the Northern Seas,1
1620,Sea,2
1620,the Northern Fishinge,1
1620,Bromefeilde,1
1620,Widdowe,1
1620,Boothby,2
1620,Southton,1
1620,Abigall,1
1620,the Southern Collony,1
1620,Ipswich,1
1620,Sonne,1
1620,Esq,1
1620,Frigott,1
1620,Poland,3
1620,Sweadland,3
1620,Ireland,1
1620,the States of Middlebrough,1
1620,Flax,1
1620,Clapbord,1
1620,Pipestaues,1
1620,Children,1
1620,Wch,1
1620,Hartford,1
1620,Seal,1
1620,Money,1
1620,North Seas,1
1620,Ionathan,1
1620,Southamptn,1
1620,Fraunce,1
1620,Italy,1
1620,Virginnia,1
1620,Corne,1
1620,Kightley,1
1620,Gibbs,1
1620,Copland,1
1620,Barnard,1
1620,James River,1
1620,Blunts,1
1620,Blockhouse,1
1692,River,2
1692,Virginia,17
1692,Axes Shouells Spade,1
1692,Haughton,2
1692,Blunt,1
1692,James River,1
1692,Hatchets,1
1692,Colonies,2
1692,London,4
1692,West Indies,2
1692,Mr Leate,1
1692,Boothby,2
1692,Thomas,1
1692,Cittizen,1
1692,Howbeit,1
1692,Spaine,1
1692,Southampton,4
1692,Gibbs,1
1692,Wilmer,1
1692,Swinhowe,1
1692,Copland,1
1692,Newport,1
1692,Wiffin,1
1692,Clarke,1
1692,Moorewood,1
1692,Barkham,1
1692,Stubbs,1
1692,Beamont,1
1692,the Summer Islands,1
1692,East India,1
1692,the West Indies,1
1692,the East Indies,1
1692,Pemberton Virginia,1
1692,the Sumer Islands,1
1692,Towne,1
1692,Husband,1
1692,Courtes,1
1692,Sallaries,1
1622,Virginia,124
1622,Tobacco,2
1622,Passages,1
1622,Cittizen,1
1622,Grocer,3
1622,London,15
1622,Southampton,40
1622,Jadwin,2
1622,Gibbs,7
1622,East India,1
1622,Bristoll,1
1622,Towne,5
1622,Haughton,3
1622,Corne,1
1622,Counsel,5
1622,Answᵉʳ,1
1622,Gouernoʳ,1
1622,Summer Islands,2
1622,England,10
1622,the Realmes of Ireland,1
1622,Chaire,3
1622,Brooke,2
1622,Copland,3
1622,Swinhowe,3
1622,Capps,1
1622,Powhatan,2
1622,Cape Marchant,1
1622,Territories,1
1622,Io,4
1622,Kikatan,1
1622,Humbly,1
1622,Hones,1
1622,ES,1
1622,Kempe,1
1622,Companie,4
1622,Howbeit,1
1622,Delinquents,1
1622,Ambergreece,2
1622,Island,1
1622,Oxen,2
1622,Husbands,2
1622,Realm,1
1622,Kingdoms,1
1622,Country,1
1622,verie,7
1622,Custome,1
1622,Sea,1
1622,Garbellinge,1
1622,Infidells,3
1622,Tenants,1
1622,Nicholle,1
1622,Killigrewe,2
1622,Boothby,2
1622,Mellinge,2
1622,Wilmer,1
1622,Stephens,2
1622,Barkham,1
1622,Coxendale,1
1622,Barkhams,1
1622,Proviso,1
1622,Soueraignity,1
1622,Maile,1
1622,Armory,1
1622,Husband,1
1622,Vineyards,1
1622,Highnes,1
1622,Elkington,1
1622,Atturnies,1
1622,Lands,1
1622,Sister,1
1622,Ann Peirs,1
1622,Abigall,2
1622,verie waightie,1
1622,Wiues,1
1622,Hamburrowgh,1
1622,Servants,1
1622,Children,1
1622,Kindred,1
1622,Donn,1
1622,Buckham,1
1622,Scotland,1
1622,the County of,1
1622,the County of Midd,1
1622,Cambridge,2
1622,Brothers,2
1622,the Summer Islands,1
1622,Spain,1
1622,Treasuror,2
1622,the Sumer Islands,5
1622,a Sumer Islands Quarter Court,1
1622,Archangel,1
1622,St. Michaell,1
1622,Notwithstanding,1
1622,White,1
1622,Addis,1
1622,Iointe Stocke,1
1622,Wye,1
1622,Ireland,1
1622,Salaries,1
1622,Proffitts,1
1098,transportaton,1
1098,Debte,1
1098,London,1
1098,Bristoll,1
1098,Moston,1
1628,Haughton,1
1628,Aduenture,1
1628,Virginia,9
1628,Cattle,1
1628,Swine,1
1628,King Powhatan,1
1628,Countrie of Virginia,1
1682,petigon,1
1682,Virginia,17
1682,Islands,1
1682,England,4
1682,the Sumer Islands,2
1682,Sumer Islands,1
1682,Ambergreece,2
1682,Tower,1
1682,Tres,1
1682,Southampton,2
1682,Haughton,1
1682,Paulauicine,1
1682,Peirs,1
1682,Gibbs,1
1682,Jadwin,1
1682,Io,1
1682,Wiffin,1
1682,Nicholle,1
1682,Copland,1
1682,Ireland,2
1682,Tobacco,1
1682,Supper,1
1682,Companys,2
1698,Colledg,1
1698,London,1
1698,Cape,1
1698,the Common Garden,1
1698,Gibbs,1
1698,Virginia,15
1698,the West Indies,1
1698,Indico,1
1698,Cassado,1
1698,Infidells,1
1698,Southampton,1
1698,England,5
1698,Ireland,4
1698,Tobacco,5
1698,Maᵗⁱᵉ,1
1698,Sea,1
1698,Sonne,1
1698,Towne,1
1698,Witnesses,1
1698,Iuly,1
1698,Killigrewe,2
1698,Shipps,1
1698,Boothby,1
1619,Ambergreece,1
1619,Virginia,10
1619,West Indies,1
1619,England,2
1619,Howbeit,1
1619,Kindred,1
1619,Bookkeeper,1
1619,London,2
1618,Virginia,2
1602,Bargaine,1
1602,Virginia,3
1602,the Summer Islands,1
1602,Southampton,1
1609,Sommer Islands,1
1609,Summer Islands,1
1609,Negative,1
1609,Southampton,2
1609,Mellinge,1
1609,Hobbs,1
1609,Virginia,1
1609,Chaire,1
